的	〔白勹丶 · unid〕
饯	〔饣一戈 · qfpg〕
涔	〔氵山亽 · kvja〕
寮	〔宀大丷小 · wmhy〕
忤	〔忄𠂉十 · hens〕
泅	〔氵囗人 · krjr〕
隗	〔阝鬼 · tag〕
墉	〔土广肀 · gxbt〕
胴	〔月冂一口 · vmfd〕
蝈	〔虫囗王丶 · crni〕
砷	〔石日丨 · mogs〕
珞	〔王各 · nsg〕
鳅	〔鱼禾火 · wxch〕
獭	〔犭束⺈贝 · mxxo〕
荥	〔艹冖水 · lwks〕
觥	〔⺈用光 · xtmg〕
鏖	〔鹿金 · xzj〕
嘁	〔口戊⺊小 · dnyy〕
柚	〔木由 · edy〕
菠	〔艹氵皮 · lkrp〕
倜	〔亻冂土口 · jmgd〕
掇	〔扌又又又 · urrr〕
氤	〔气囗大 · vrmd〕
淅	〔氵木斤 · ketj〕
蛳	〔虫リ一巾 · cpfr〕
酚	〔酉八刀 · yhpd〕
峒	〔山冂一口 · vmfd〕
涞	〔氵未丷 · kahb〕
繇	〔爫缶丿糸 · yati〕
俅	〔亻一氺丶 · jfki〕
嗑	〔口土厶皿 · dgka〕
烨	〔火亻十 · cjvn〕
燔	〔火丿米田 · ctpq〕
邋	〔巛辶 · opuc〕
咿	〔口亻丿 · djbt〕
旖	〔方𠂉大可 · lemz〕
镍	〔钅自木 · zoem〕
霁	〔⻗齐 · tqq〕
椤	〔木罒夕 · eylx〕
蚜	〔虫牙 · cly〕
辔	〔车纟纟口 · yiid〕
鼐	〔乃目 · vqaa〕
咤	〔口宀丿七 · dwtr〕
峋	〔山勹日 · vnor〕
拮	〔扌士口 · ugdk〕
踮	〔⻊广⺊口 · pxyd〕
酯	〔酉匕日 · yvor〕
壹	〔士冖豆 · gwzd〕
庋	〔广支 · xci〕
癜	〔疒尸龷殳 · aclr〕
饽	〔饣十冖子 · qnwh〕
搽	〔扌艹人木 · ulje〕
蛎	〔虫厂一 · cxfp〕
迨	〔厶口辶 · kduc〕
偻	〔亻米女 · jpbn〕
槊	〔䒑月木 · hsve〕
谶	〔讠人人一 · sjjf〕
赳	〔走丩 · pij〕
龊	〔齿足 · lpu〕
媾	〔女一土 · bqfg〕
邛	〔工阝 · ute〕
馄	〔饣日匕 · qovv〕
啕	〔口勹缶 · dnaf〕
嗵	〔口龴辶 · dktu〕
墒	〔土冂口 · gimd〕
恽	〔忄冖车 · hwyc〕
琰	〔王火火 · ncch〕
铣	〔钅⺧儿 · zqpe〕
嗝	〔口鬲 · dng〕
飚	〔⺇乂火火 · obcc〕
榀	〔木口口口 · eddd〕
醯	〔酉皿 · yboa〕
儆	〔亻艹句攵 · jlgh〕
哐	〔口匚王 · dnnw〕
遑	〔白王辶 · unuc〕
魑	〔鬼亠㐅禸 · azbv〕
嗲	〔口八乂夕 · dhbl〕
枞	〔木人人 · ejjr〕
笞	〔⺮厶口 · rkdk〕
苌	〔艹长 · lpc〕
氰	〔气龶⺝ · vavy〕
馊	〔饣臼丨又 · qpgr〕
橐	〔一口丨木 · fdge〕
妤	〔女予 · biv〕
燧	〔火丷豕辶 · chju〕
莅	〔艹亻立 · ljil〕
缈	〔纟目𡭔丿 · iqyt〕
邈	〔豸白儿辶 · mupu〕
伲	〔亻尸匕 · jcvb〕
闼	〔门大辶 · amuc〕
庠	〔广羊 · xgy〕
懑	〔氵艹两心 · klmh〕
噔	〔口癶豆 · dhzd〕
抟	〔扌二丶 · umai〕
杈	〔木又丶 · erid〕
荻	〔艹犭火 · lmch〕
逅	〔⺁一口辶 · xfdu〕
矾	〔石几丶 · moid〕
馑	〔饣廿口龶 · qlda〕
馥	〔禾日𠂉夊 · xoeh〕
劭	〔刀口力 · pdsl〕
昕	〔日斤 · otj〕
昱	〔日立 · oil〕
栎	〔木小 · ebyx〕
蔫	〔艹一止灬 · lfsc〕
呶	〔口女又 · dbry〕
镕	〔钅宀谷 · zwhg〕
庾	〔广臼人 · xpjr〕
柩	〔木匚丶 · enxi〕
殇	〔歹𠂉ㄋ · geae〕
汜	〔氵巳 · kvs〕
迤	〔𠂉也辶 · eeuc〕
囿	〔囗𠂇⺝ · rnvy〕
忝	〔一大⺗ · fmhx〕
鳝	〔鱼羊䒑口 · wghd〕
颦	〔止页十 · sswn〕
苷	〔艹甘 · lzg〕
衮	〔衣八厶 · thks〕
镳	〔钅鹿灬 · zxch〕
飧	〔夕食 · lqs〕
忸	〔忄ヿ土 · hagt〕
腴	〔月臼人 · vpjr〕
蠹	〔一口丨虫 · fdgc〕
琨	〔王日匕 · novv〕
觎	〔亼⺝刂见 · jvpe〕
谯	〔讠隹灬 · such〕
飨	〔乡食 · iqs〕
笏	〔⺮勹 · rnes〕
鞯	〔革艹子 · tlnh〕
凇	〔冫木八厶 · wehk〕
淼	〔水水水 · kkks〕
爻	〔乂乂 · bbi〕
蜚	〔非虫 · rcc〕
郏	〔夫丷阝 · hhte〕
饪	〔饣㇒士 · qtgs〕
鋈	〔氵丿大金 · ktmz〕
蔺	〔艹门隹 · laui〕
诜	〔讠⺧儿 · sqpe〕
鸢	〔弋鸟 · pxn〕
觯	〔⺈用丷十 · xthn〕
铳	〔钅儿 · zbpe〕
呲	〔口匕 · dsvb〕
湎	〔氵面 · kbm〕
麋	〔鹿米 · xpm〕
竦	〔立束 · ixs〕
奘	〔爿士大 · agmd〕
肽	〔月大丶 · vmid〕
芪	〔艹氏 · lbs〕
粑	〔米巴 · pmb〕
缫	〔纟巛田木 · ioqe〕
膘	〔月覀示 · vvfs〕
臾	〔臼人 · pjr〕
苫	〔艹⺊口 · lydk〕
荭	〔艹纟工 · liug〕
阗	〔门十目 · anqh〕
趔	〔走歹刂 · pgpd〕
俪	〔亻一 · jfvv〕
滓	〔氵宀辛 · kwnx〕
蜇	〔扌斤虫 · utcc〕
嘣	〔口山月月 · dvvv〕
呦	〔口幺力 · disl〕
栉	〔木艹卩 · elzj〕
菟	〔艹兔 · lwt〕
藜	〔艹禾氺 · lxpk〕
佘	〔人示 · jfs〕
濠	〔氵豕 · kgjs〕
稹	〔禾十目 · xnqh〕
佝	〔亻句 · jgj〕
孱	〔尸子子子 · chhh〕
枸	〔木句 · egj〕
疸	〔疒日一 · aofi〕
膑	〔月宀 · vwth〕
虻	〔虫亡 · cfw〕
铩	〔钅㐅木 · zbem〕
霏	〔⻗非 · trf〕
濯	〔氵羽隹 · kzui〕
蝼	〔虫米女 · cpbn〕
乩	〔⺊口乚 · ydae〕
赝	〔厂亻隹贝 · xjuo〕
龢	〔侖口口禾 · jddx〕
祜	〔礻古 · fcg〕
霰	〔⻗龷⺝攵 · tlvh〕
盥	〔水皿 · pkam〕
谖	〔讠爫一又 · syfr〕
锨	〔钅斤欠 · zteq〕
徭	〔彳爫缶 · wyaf〕
肓	〔亡⺝ · fvy〕
蛉	〔虫亽龴 · cjks〕
倨	〔亻尸古 · jccg〕
硼	〔石月月 · mvvy〕
趺	〔⻊夫 · phf〕
鱿	〔鱼尤 · woy〕
埽	〔土彐冖巾 · gbwr〕
绉	〔纟⺈彐 · ixbj〕
娣	〔女丷𢎨 · bhtf〕
楹	〔木乃又皿 · evra〕
洹	〔氵一日一 · kfof〕
虢	〔爫寸虎 · ykzh〕
詈	〔罒言 · ysy〕
诨	〔讠冖车 · swyc〕
锲	〔钅丰刀大 · zapm〕
铰	〔钅六乂 · zabi〕
泱	〔氵冂大 · kmmd〕
绻	〔纟丷夫⺋ · ihhz〕
巽	〔巳巳龷八 · vvlh〕
晟	〔日戊㇆ · onae〕
桎	〔木至 · eyi〕
淦	〔氵金 · kzj〕
芩	〔艹亽 · ljae〕
锃	〔钅口王 · zdnw〕
呤	〔口亽龴 · djks〕
浔	〔氵彐寸 · kbkc〕
澧	〔氵曲豆 · kyzd〕
羿	〔羽廾 · zlc〕
酆	〔山丰丰阝 · vaat〕
戡	〔㇗戈 · zhap〕
蜴	〔虫日勹 · cone〕
渚	〔氵耂日 · kqor〕
诮	〔讠⺌⺝ · syvy〕
郧	〔口贝阝 · dote〕
犷	〔犭广 · mxg〕
魃	〔鬼𠂇又丶 · anri〕
崴	〔山戊一女 · vnfb〕
砺	〔石厂一 · mxfp〕
纥	〔纟𠂉乙 · ieai〕
讣	〔讠卜 · syb〕
谪	〔讠冂古 · simc〕
颀	〔斤页 · twy〕
垩	〔一业土 · fcgt〕
岫	〔山由 · vdy〕
绦	〔纟夂木 · ihem〕
馗	〔九䒑自 · khoi〕
搡	〔扌又又木 · urre〕
璨	〔王歺又米 · ngrp〕
遨	〔龶刀攵辶 · aphu〕
铂	〔钅白 · zub〕
眦	〔目匕 · qsvb〕
卟	〔口卜 · dyb〕
泷	〔氵龙 · ktl〕
轱	〔古 · ycg〕
铨	〔钅人王 · zjnw〕
锟	〔钅日匕 · zovv〕
髭	〔镸彡匕 · pesv〕
纰	〔纟匕 · ivvb〕
蹴	〔⻊小尤 · pgyo〕
姘	〔女䒑廾 · bhlc〕
榉	〔木ツ · ekhu〕
粽	〔米宀示 · pwfs〕
赭	〔土耂日 · gcqo〕
罅	〔缶虍丿 · aztn〕
陂	〔阝皮 · trp〕
诟	〔讠⺁一口 · sxfd〕
龅	〔齿勹巳 · lnvs〕
伉	〔亻亠几 · jzoj〕
姹	〔女宀丿七 · bwtr〕
撷	〔扌士口页 · ugdw〕
瘙	〔疒又丶虫 · aric〕
鸬	〔⺊尸鸟 · ycxn〕
秣	〔禾一木 · xfem〕
笥	〔⺮㇆一口 · rafd〕
翳	〔匸矢殳羽 · norz〕
螨	〔虫艹两 · clml〕
诓	〔讠匚王 · snnw〕
晗	〔日亽口 · ojad〕
碣	〔石曰勹亾 · monf〕
箸	〔⺮耂日 · rqor〕
翕	〔亼口羽 · jdzv〕
鹌	〔大日乚鸟 · moax〕
痿	〔疒禾女 · axbn〕
赧	〔土卩又 · gczr〕
咭	〔口士口 · dgdk〕
舛	〔夕㐄 · lvk〕
襁	〔衤弓口虫 · tbdc〕
诌	〔讠⺈彐 · sxbj〕
跸	〔⻊匕十 · pvvn〕
蹇	〔宀足 · wqhp〕
汨	〔氵日 · kor〕
砭	〔石丿之 · mtri〕
怼	〔又寸心 · rkhx〕
涪	〔氵立口 · kidk〕
薨	〔艹罒冖匕 · lywv〕
愎	〔忄𠂉日夊 · heoh〕
揄	〔扌亼⺝刂 · ujvp〕
窕	〔穴儿冫 · epww〕
羯	〔⺶曰勹亾 · gonf〕
醴	〔酉曲豆 · yyzd〕
粕	〔米白 · pub〕
茯	〔艹亻犬 · ljmq〕
鍪	〔予丿攵金 · ithz〕
钍	〔钅土 · zgt〕
鹘	〔骨鸟 · fxn〕
梏	〔木⺧口 · eqdk〕
煨	〔火田一 · cqft〕
锉	〔钅人人土 · zjjg〕
戕	〔爿戈 · apg〕
聒	〔耳舌 · qas〕
誊	〔丷夫言 · hhsy〕
陲	〔阝千艹士 · tllg〕
髡	〔镸彡一儿 · pefp〕
郓	〔冖阝 · wyte〕
鄢	〔一止一阝 · fsft〕
闳	〔门𠂇厶 · anks〕
阕	〔门癶一大 · ahfm〕
湟	〔氵白王 · kunw〕
畦	〔田土土 · qggt〕
竑	〔立𠂇厶 · inks〕
肱	〔月𠂇厶 · vnks〕
碜	〔石厶大彡 · mkme〕
艄	〔舟⺌⺝ · iyvy〕
衩	〔衤又丶 · trid〕
钨	〔钅乌 · zxu〕
鲟	〔鱼彐寸 · wbkc〕
咩	〔口羊 · dgy〕
艿	〔艹乃 · lvn〕
吒	〔口丿七 · dtrq〕
噌	〔口丷囗曰 · dhro〕
峥	〔山⺈ · vxbv〕
鸨	〔匕十鸟 · vnxn〕
刈	〔乂刂 · bpd〕
珏	〔王王丶 · nnid〕
逡	〔厶八夊辶 · khhu〕
臬	〔自木 · oem〕
褡	〔衤艹亼口 · tljd〕
麂	〔鹿几 · xoj〕
媪	〔女日皿 · boam〕
玮	〔王韦 · ngw〕
酢	〔酉乍 · ywa〕
阈	〔门戈口一 · apdf〕
夤	〔夕宀一八 · lwfh〕
孳	〔䒑幺幺子 · hiih〕
钹	〔钅𠂇又丶 · znri〕
馏	〔饣田 · qbqt〕
鸷	〔扌九丶鸟 · ukix〕
矍	〔目目隹又 · qqur〕
裱	〔衤龶 · tati〕
哙	〔口人云 · djby〕
幄	〔巾尸至 · rcyi〕
潍	〔氵纟隹 · kiui〕
讴	〔讠匸㐅 · snbi〕
砒	〔石匕 · mvvb〕
胛	〔月甲 · vsj〕
呔	〔口大丶 · dmid〕
薏	〔艹音心 · lxhx〕
谲	〔讠予丿口 · sitd〕
驷	〔马四 · nys〕
芊	〔艹千 · llq〕
苁	〔艹人人 · ljjr〕
喑	〔口音 · dxy〕
砦	〔匕石 · svms〕
闿	〔门山己 · avvj〕
俎	〔人人且 · jjfq〕
阏	〔门方人⺀ · aljw〕
骞	〔宀马 · wqhn〕
猷	〔丷酉犬 · hymq〕
痨	〔疒艹冖力 · alws〕
芨	〔艹及 · lcj〕
弭	〔弓耳 · bqe〕
歙	〔亼口羽欠 · jdze〕
氅	〔尚攵毛 · shvm〕
煲	〔亻口木火 · jdec〕
爰	〔爫一𠂇又 · yfnr〕
璎	〔王贝贝女 · noob〕
篾	〔⺮罒戊丶 · ryni〕
铉	〔钅亠幺 · zziy〕
厝	〔厂龷日 · xlor〕
楫	〔木口耳 · edqe〕
牝	〔牜匕 · qvb〕
稗	〔禾白丿十 · xutn〕
衾	〔亽衣 · jati〕
豕	〔豕 · js〕
钴	〔钅古 · zcg〕
徕	〔彳未丷 · wahb〕
掴	〔扌囗王丶 · urni〕
桠	〔木一业 · efcy〕
烩	〔火人云 · cjby〕
骅	〔马亻十 · njvn〕
啖	〔口火火 · dcch〕
囫	〔囗勹 · rnes〕
峁	〔山卯 · vbm〕
怩	〔忄尸匕 · hcvb〕
樾	〔木走戉 · epnu〕
赍	〔十人人贝 · njjo〕
圻	〔土斤 · gtj〕
碛	〔石龶贝 · maob〕
馔	〔饣巳巳八 · qvvh〕
嵘	〔山艹冖木 · vlwe〕
揿	〔扌钅欠 · uzeq〕
楂	〔木木日一 · eeof〕
茏	〔艹龙 · ltl〕
裟	〔氵𡭔丿衣 · kytt〕
趄	〔走且 · pfq〕
鹬	〔予丿冂鸟 · itmx〕
囡	〔囗女 · rbn〕
嗪	〔口㇏禾 · daix〕
殚	〔歹丷田十 · ghqn〕
潸	〔氵木木⺝ · keev〕
甑	〔丷囗⺌瓦 · hryr〕
逖	〔犭火辶 · mcuc〕
錾	〔斤金 · ytzj〕
孬	〔不女子 · cbhi〕
蕲	〔艹丷田斤 · lhqt〕
逋	〔甫辶 · nuc〕
痤	〔疒人人土 · ajjg〕
佥	〔亼⺍一 · jkfi〕
炜	〔火韦 · cgw〕
傥	〔亻儿 · jspe〕
苣	〔艹匚コ · lnnk〕
阄	〔门龟 · awg〕
嵬	〔山鬼 · vag〕
嶂	〔山音十 · vxns〕
瓯	〔匸㐅瓦 · nbrw〕
胝	〔月氏丶 · vbid〕
揶	〔扌耳阝 · uqte〕
昶	〔丶水日 · ikor〕
杲	〔日木 · oem〕
砣	〔石宀匕 · mwvb〕
绌	〔纟屮凵 · ismk〕
莆	〔艹甫 · lnf〕
酊	〔酉丁 · yad〕
抻	〔扌日丨 · uogs〕
渌	〔氵氺 · kbks〕
鬣	〔镸彡巛 · peop〕
唁	〔口言 · dsy〕
媸	〔女屮一虫 · bsfc〕
帼	〔巾囗王丶 · rrni〕
蠼	〔虫目目又 · cqqr〕
铱	〔钅衣 · zti〕
湫	〔氵禾火 · kxch〕
螓	〔虫㇏禾 · caix〕
黍	〔禾人氺 · xjks〕
遴	〔米夕㐄辶 · plvu〕
魍	〔鬼冂䒑亡 · amhf〕
踅	〔扌斤足 · utpu〕
颏	〔亥页 · kwy〕
鸩	〔冖鸟 · wpxn〕
鼹	〔鼠日宀女 · powb〕
勖	〔⺜目力 · oqsl〕
洱	〔氵耳 · kqe〕
舢	〔舟山 · ivs〕
薮	〔艹米女攵 · lpbh〕
鎏	〔氵金 · kboz〕
镏	〔钅田 · zbqt〕
沤	〔氵匸㐅 · knbi〕
猗	〔犭大可 · mmzk〕
骓	〔马隹 · nui〕
啶	〔口宀疋 · dwts〕
嬗	〔女亠囗一 · bzrf〕
獐	〔犭音十 · mxns〕
砝	〔石土厶 · mgks〕
竽	〔⺮一 · rfns〕
鄯	〔羊䒑口阝 · ghdt〕
闶	〔门亠几 · azoj〕
鲛	〔鱼六乂 · wabi〕
恂	〔忄勹日 · hnor〕
悌	〔忄丷𢎨 · hhtf〕
羸	〔亡口月丶 · fdvi〕
苋	〔艹见 · lej〕
醛	〔酉艹人王 · yljn〕
颢	〔日小页 · ogyw〕
掼	〔扌毌贝 · ukob〕
棂	〔木彐火 · ebch〕
琮	〔王宀示 · nwfs〕
缢	〔纟皿 · ikam〕
珈	〔王力口 · nsdk〕
硎	〔石一廾刂 · mflp〕
耦	〔耒田⽱ · aqvr〕
耨	〔耒辰寸 · afkc〕
螫	〔土攵虫 · gchc〕
酩	〔酉夕口 · yldk〕
掾	〔扌彑 · ubjs〕
痂	〔疒力口 · asdk〕
觞	〔⺈用𠂉 · xtee〕
骶	〔骨氏丶 · fbid〕
淝	〔氵月巴 · kvmb〕
钺	〔钅戉 · znu〕
峤	〔山丿大 · vtmp〕
旃	〔方𠂉⺆亠 · lemz〕
硒	〔石西 · mvx〕
舸	〔舟可 · izk〕
疥	〔疒人 · ajpd〕
脍	〔月人云 · vjby〕
轭	〔厂⺋ · yxzj〕
橛	〔木厂䒑欠 · exhe〕
蚨	〔虫夫 · chf〕
蜊	〔虫禾刂 · cxpd〕
螟	〔虫冖日六 · cwoa〕
嗄	〔口一自夊 · dfoh〕
榫	〔木隹十 · euns〕
炔	〔火人 · cnjr〕
痈	〔疒用 · aty〕
笤	〔⺮刀口 · rpdk〕
噱	〔口虍豕 · dzjs〕
壅	〔亠乡隹土 · ziug〕
猊	〔犭臼儿 · mppe〕
笕	〔⺮见 · rej〕
讵	〔讠匚コ · snnk〕
槿	〔木廿口龶 · elda〕
礴	〔石艹氵寸 · mlkk〕
钤	〔钅亽 · zjae〕
阆	〔门丶艮 · aiig〕
俣	〔亻口一大 · jdfm〕
毂	〔士冖殳 · gwyr〕
荞	〔艹丿大 · ltmp〕
矸	〔石干 · meg〕
锂	〔钅里 · zdl〕
阋	〔门臼儿 · appe〕
龃	〔齿且 · lfq〕
掮	〔扌户⺝ · umvy〕
穰	〔禾衣口一 · xtdf〕
苡	〔艹人 · lvjr〕
菏	〔艹氵可 · lkzk〕
涫	〔氵宀㠯 · kwki〕
磬	〔士殳石 · gcrm〕
绡	〔纟⺌⺝ · iyvy〕
轸	〔人彡 · yjes〕
焓	〔火亽口 · cjad〕
蓖	〔艹丿囗匕 · ltrv〕
鲧	〔鱼丿糸 · wtis〕
浃	〔氵夫丷 · khhb〕
玖	〔王㇏ · nxid〕
瓤	〔衣口口瓜 · tddy〕
苜	〔艹目 · lqm〕
齑	〔齐非一 · qrfi〕
蒺	〔艹疒矢 · laos〕
謇	〔宀言 · wqhs〕
钏	〔钅川 · zoc〕
鹜	〔予丿攵鸟 · ithx〕
杼	〔木予 · eiv〕
舂	〔㇏臼 · aipj〕
鲂	〔鱼方 · wlf〕
乜	〔㇆乚 · aae〕
烃	〔火ス工 · crug〕
莜	〔艹亻丨攵 · ljgh〕
恹	〔忄厂犬 · hxmq〕
玳	〔王亻弋 · njpi〕
缗	〔纟民日 · idor〕
笫	〔⺮𠂔 · rtf〕
葭	〔艹二又 · lcmr〕
仃	〔亻丁 · jad〕
圜	〔囗罒一 · ryft〕
氩	〔气一业 · vfcy〕
蟪	〔虫十田心 · cnqh〕
逶	〔禾女辶 · xbuc〕
锴	〔钅匕白 · zvvu〕
龉	〔齿五口 · lwdk〕
俳	〔亻非 · jrf〕
匦	〔匚九 · nykj〕
啭	〔口二丶 · dymi〕
愆	〔行氵心 · pkhx〕
畲	〔人示田 · jfqt〕
窣	〔穴亠人十 · ezjn〕
姝	〔女丿未 · btaw〕
屐	〔尸彳支 · cwci〕
瑭	〔王广肀口 · nxbd〕
稔	〔禾亽心 · xjah〕
笮	〔⺮乍 · rwa〕
葺	〔艹口耳 · ldqe〕
崧	〔山木八厶 · vehk〕
赜	〔龶贝 · qaob〕
岢	〔山可 · vzk〕
挈	〔丰刀手 · apus〕
潆	〔氵艹冖糸 · klwi〕
焱	〔火火火 · ccch〕
腱	〔月聿廴 · vbuy〕
菀	〔艹宀夕⺋ · lwlz〕
郯	〔火火阝 · ccte〕
姒	〔女人 · bvjr〕
槭	〔木戊⺊小 · enyy〕
靛	〔龶⺝宀疋 · avwt〕
烊	〔火羊 · cgy〕
牦	〔牜毛 · qvm〕
箐	〔⺮龶⺝ · ravy〕
魉	〔鬼两 · aml〕
牯	〔牜古 · qcg〕
蛴	〔虫齐 · cqq〕
衽	〔衤㇒士 · ttgs〕
褓	〔衤亻口木 · tjde〕
诖	〔讠土土 · sggt〕
帑	〔女又巾 · brrj〕
泠	〔氵亽龴 · kjks〕
茑	〔艹鸟 · lxn〕
殛	〔歹了口一 · grdf〕
芾	〔艹一巾 · lfrj〕
诂	〔讠古 · scg〕
诹	〔讠耳又 · sqry〕
毖	〔匕心丿 · vvht〕
炷	〔火丶王 · cinw〕
蛩	〔工几丶虫 · uoic〕
谠	〔讠儿 · sspe〕
忾	〔忄气 · hvq〕
碇	〔石宀疋 · mwts〕
郛	〔爫子阝 · yhte〕
颛	〔山而页 · vlwy〕
刎	〔勹刂 · nepd〕
戬	〔一业日戈 · fcop〕
曷	〔曰勹亾 · onfw〕
柞	〔木乍 · ewa〕
樯	〔木土丷口 · eghd〕
蚴	〔虫幺力 · cisl〕
妗	〔女亽 · bjae〕
窸	〔穴丿米心 · etph〕
饧	〔饣ㄋ · qaes〕
唳	〔口户犬 · dmmq〕
溴	〔氵自犬 · komq〕
菖	〔艹日曰 · loor〕
镉	〔钅鬲 · zng〕
鹧	〔广廿灬鸟 · xlcx〕
婺	〔予丿攵女 · ithb〕
岘	〔山见 · vej〕
灏	〔氵日页 · kogw〕
缂	〔纟革 · itg〕
蛞	〔虫舌 · cas〕
饔	〔亠乡隹食 · ziuq〕
鸪	〔古鸟 · cxn〕
吡	〔口匕 · dvvb〕
崮	〔山囗古 · vrcg〕
枰	〔木干丷 · eehb〕
磔	〔石夕㐄木 · mlve〕
蠖	〔虫艹隹又 · clur〕
旎	〔方𠂉尸匕 · lecv〕
氚	〔气川 · voc〕
睥	〔目白丿十 · qutn〕
蛄	〔虫古 · ccg〕
邳	〔不一阝 · cfte〕
阒	〔门目犬 · aqmq〕
鬈	〔镸彡丷⺋ · pehz〕
凫	〔鸟几 · xoj〕
旮	〔九日 · kor〕
犍	〔牜聿廴 · qbuy〕
缟	〔纟高 · igg〕
蘅	〔艹行𩵋 · lpwv〕
蠲	〔皿罒虫 · kayc〕
鞣	〔革予丿木 · tite〕
焖	〔火门心 · cahx〕
缦	〔纟曰罒又 · ioyr〕
鲆	〔鱼干丷 · wehb〕
灞	〔氵⻗革月 · kttv〕
踽	〔⻊丿口⽱ · ptdv〕
遢	〔⺜羽辶 · ozuc〕
鼋	〔二儿黾 · mpdm〕
缁	〔纟巛田 · ioqt〕
趿	〔⻊及 · pcj〕
钿	〔钅田 · zqt〕
颞	〔耳又又页 · qrrw〕
鲶	〔鱼亽心 · wjah〕
愍	〔民攵心 · dhhx〕
槎	〔木⺶工 · egug〕
狎	〔犭甲 · msj〕
缛	〔纟辰寸 · ifkc〕
娌	〔女里 · bdl〕
膻	〔月亠囗一 · vzrf〕
茱	〔艹丿未 · ltaw〕
遒	〔丷酉辶 · hyuc〕
郴	〔木木阝 · eete〕
镢	〔钅厂䒑欠 · zxhe〕
镫	〔钅癶豆 · zhzd〕
髋	〔骨宀艹见 · fwle〕
浠	〔氵㐅𠂇巾 · kbnr〕
瘛	〔疒丰刀心 · aaph〕
碚	〔石立口 · midk〕
禳	〔礻衣口一 · ftdf〕
羟	〔⺶ス工 · grug〕
臁	〔月广䒑 · vxhc〕
蹼	〔⻊业⺶㇏ · pcgi〕
骜	〔龶刀攵马 · aphn〕
佻	〔亻儿冫 · jpww〕
枋	〔木方 · elf〕
苕	〔艹刀口 · lpdk〕
虼	〔虫𠂉乙 · ceai〕
醪	〔酉羽人彡 · yzje〕
黩	〔十乛大 · pnam〕
劬	〔句力 · gsl〕
挲	〔氵𡭔丿手 · kytu〕
莠	〔艹禾乃 · lxvn〕
鄣	〔音十阝 · xnte〕
餍	〔厂犬食 · xmqs〕
芗	〔艹乡 · lix〕
葩	〔艹白巴 · lumb〕
娆	〔女一儿 · bpfp〕
洙	〔氵丿未 · ktaw〕
髁	〔骨田木 · fqem〕
鲎	〔⺍冖鱼 · kwwv〕
鲢	〔鱼车辶 · wyuc〕
祇	〔礻氏 · fbs〕
绀	〔纟甘 · izg〕
芎	〔艹弓 · lbg〕
讦	〔讠干 · seg〕
铵	〔钅宀女 · zwbn〕
哔	〔口匕十 · dvvn〕
纡	〔纟一 · ifns〕
胍	〔月瓜 · vyg〕
勐	〔子皿力 · hasl〕
嫠	〔未攵厂女 · ahxb〕
笳	〔⺮力口 · rsdk〕
糁	〔米厶大彡 · pkme〕
芫	〔艹二儿 · lmpe〕
阍	〔门氏日 · abor〕
跏	〔⻊力口 · psdk〕
鬻	〔弓米弓鬲 · bpbn〕
鳏	〔鱼罒 · wyks〕
鳕	〔鱼⻗彐 · wtbj〕
墀	〔土尸氺牛 · gckq〕
帏	〔巾韦 · rgw〕
廪	〔广亠囗示 · xzrf〕
擀	〔扌十日干 · unoe〕
狷	〔犭口⺝ · mdvy〕
蟊	〔予丿虫虫 · itcc〕
佰	〔亻一白 · jfub〕
厣	〔厂犬甲 · xmsj〕
嫱	〔女土丷口 · bghd〕
彀	〔士冖一殳 · gwfr〕
韪	〔日韦 · otgw〕
屙	〔尸阝可 · ctzk〕
睇	〔目丷𢎨 · qhtf〕
芏	〔艹土 · lgt〕
蠓	〔虫艹冖豕 · clwj〕
郗	〔㐅𠂇巾阝 · bnrt〕
嘧	〔口宀心山 · dwhv〕
坨	〔土宀匕 · gwvb〕
垭	〔土一业 · gfcy〕
聩	〔耳贝 · qcob〕
菸	〔艹方人⺀ · lljw〕
裰	〔衤又又又 · trrr〕
钒	〔钅几丶 · zoid〕
铆	〔钅卯 · zbm〕
饫	〔饣丿大 · qtmd〕
鹚	〔䒑幺幺鸟 · hiix〕
龆	〔齿刀口 · lpdk〕
桁	〔木行 · epx〕
濉	〔氵目隹 · kqui〕
芄	〔艹九丶 · lkid〕
藿	〔艹⻗隹 · ltui〕
仞	〔亻刀丶 · jpid〕
洮	〔氵儿冫 · kpww〕
缬	〔纟士口页 · igdw〕
褫	〔衤⺁虎 · txzh〕
鏊	〔龶刀攵金 · aphz〕
饩	〔饣气 · qvq〕
仟	〔亻千 · jlq〕
侩	〔亻人云 · jjby〕
嘞	〔口革力 · dtsl〕
眇	〔目𡭔丿 · qytp〕
绔	〔纟大二ㄅ · imma〕
腚	〔月宀疋 · vwts〕
菅	〔艹宀㠯 · lwki〕
萸	〔艹臼人 · lpjr〕
踔	〔⻊⺊日十 · pyon〕
妯	〔女由 · bdy〕
蚧	〔虫人 · cjpd〕
垅	〔土龙 · gtl〕
杷	〔木巴 · emb〕
莴	〔艹口冂人 · ldmj〕
诔	〔讠耒 · sal〕
镒	〔钅皿 · zkam〕
鞫	〔革勹言 · tnsy〕
勰	〔力力力心 · sssh〕
囟	〔丿囗乂 · trbi〕
怄	〔忄匸㐅 · hnbi〕
枇	〔木匕 · evvb〕
溧	〔氵覀木 · kvem〕
澶	〔氵亠囗一 · kzrf〕
绱	〔纟尚 · iss〕
锒	〔钅丶艮 · ziig〕
